Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,159961,8416,517,50665.671875,0.010204
2,1000,0.8,0.2,50.0,1000,145270,8363,576,50635.441406,0.011375
3,1000,0.8,0.2,50.0,1000,199653,8900,353,50240.968750,0.007026
4,1000,0.8,0.2,50.0,1000,40713,6702,946,51021.160156,0.018541
5,1000,0.8,0.2,50.0,1000,72188,7368,843,50454.976562,0.016708
6,1000,0.8,0.2,50.0,1000,68137,7497,859,49367.664062,0.017400
7,1000,0.8,0.2,50.0,1000,32561,6429,987,49454.238281,0.019958
8,1000,0.8,0.2,50.0,1000,33296,6758,999,48782.871094,0.020479
9,1000,0.8,0.2,50.0,1000,194187,8759,375,51008.656250,0.007352
10,1000,0.8,0.2,50.0,1000,33828,6744,994,49484.648438,0.020087
