Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,135679,9257,128,51222.277344,0.002499
2,1000,0.5,0.2,50.0,1000,131662,8856,120,48988.527344,0.002450
3,1000,0.5,0.2,50.0,1000,133720,9034,125,50160.761719,0.002492
4,1000,0.5,0.2,50.0,1000,137390,9257,128,51738.195312,0.002474
5,1000,0.5,0.2,50.0,1000,133022,8982,130,49957.179688,0.002602
6,1000,0.5,0.2,50.0,1000,134666,9054,122,50497.074219,0.002416
7,1000,0.5,0.2,50.0,1000,133274,9064,137,50322.488281,0.002722
8,1000,0.5,0.2,50.0,1000,133097,8942,131,49925.609375,0.002624
9,1000,0.5,0.2,50.0,1000,134463,9026,115,50269.917969,0.002288
10,1000,0.5,0.2,50.0,1000,132536,8805,118,49267.343750,0.002395
