Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,256062,8860,80,49380.652344,0.001620
2,1000,0.8,0.2,50.0,1000,259330,9013,75,50429.199219,0.001487
3,1000,0.8,0.2,50.0,1000,259295,9063,84,50649.210938,0.001658
4,1000,0.8,0.2,50.0,1000,260062,9172,79,51155.972656,0.001544
5,1000,0.8,0.2,50.0,1000,261292,9040,65,51025.433594,0.001274
6,1000,0.8,0.2,50.0,1000,248736,8777,73,48814.429688,0.001495
7,1000,0.8,0.2,50.0,1000,249758,8728,59,49087.496094,0.001202
8,1000,0.8,0.2,50.0,1000,259360,9104,72,50949.695312,0.001413
9,1000,0.8,0.2,50.0,1000,257167,8928,76,50070.960938,0.001518
10,1000,0.8,0.2,50.0,1000,259872,9006,71,50516.457031,0.001405
