Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,134558,8838,92,49268.496094,0.001867
2,1000,0.8,0.2,50.0,1000,133432,8784,96,49169.195312,0.001952
3,1000,0.8,0.2,50.0,1000,134688,8882,101,49765.902344,0.002030
4,1000,0.8,0.2,50.0,1000,138180,9204,108,51277.953125,0.002106
5,1000,0.8,0.2,50.0,1000,137607,9057,80,51047.625000,0.001567
6,1000,0.8,0.2,50.0,1000,133426,8866,106,49380.078125,0.002147
7,1000,0.8,0.2,50.0,1000,134380,8867,75,49853.304688,0.001504
8,1000,0.8,0.2,50.0,1000,136693,9087,95,50806.863281,0.001870
9,1000,0.8,0.2,50.0,1000,135786,8898,92,50013.308594,0.001840
10,1000,0.8,0.2,50.0,1000,136869,9024,98,50550.718750,0.001939
