Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,123068,8743,192,49188.351562,0.003903
2,1000,0.2,0.2,50.0,1000,126275,8835,188,49744.335938,0.003779
3,1000,0.2,0.2,50.0,1000,127122,8992,206,51600.601562,0.003992
4,1000,0.2,0.2,50.0,1000,131788,9428,195,52298.941406,0.003729
5,1000,0.2,0.2,50.0,1000,126654,8977,179,49539.265625,0.003613
6,1000,0.2,0.2,50.0,1000,95290,7557,376,50154.261719,0.007497
7,1000,0.2,0.2,50.0,1000,119738,8504,228,49632.894531,0.004594
8,1000,0.2,0.2,50.0,1000,100690,7792,339,49426.242188,0.006859
9,1000,0.2,0.2,50.0,1000,130712,9189,178,51133.242188,0.003481
10,1000,0.2,0.2,50.0,1000,133182,8991,141,50045.035156,0.002817
