Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,37,10,2,49276.296875,0.000041
2,1000,0.8,0.2,50.0,1000,102,20,0,48762.410156,0.000000
3,1000,0.8,0.2,50.0,1000,66,10,0,50533.398438,0.000000
4,1000,0.8,0.2,50.0,1000,7,1,0,47926.125000,0.000000
5,1000,0.8,0.2,50.0,1000,14,3,0,49913.718750,0.000000
6,1000,0.8,0.2,50.0,1000,11,3,2,49772.945312,0.000040
7,1000,0.8,0.2,50.0,1000,15,4,2,49787.390625,0.000040
8,1000,0.8,0.2,50.0,1000,11,3,2,49906.554688,0.000040
9,1000,0.8,0.2,50.0,1000,20,4,0,48495.937500,0.000000
10,1000,0.8,0.2,50.0,1000,54,12,0,49525.308594,0.000000
