Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,14027,5614,185,49173.675781,0.003762
2,1000,0.6,0.2,50.0,1000,14161,5612,198,49426.445312,0.004006
3,1000,0.6,0.2,50.0,1000,13926,5555,209,48780.613281,0.004284
4,1000,0.6,0.2,50.0,1000,14634,5896,222,51295.476562,0.004328
5,1000,0.6,0.2,50.0,1000,13981,5597,193,49057.292969,0.003934
6,1000,0.6,0.2,50.0,1000,14170,5681,233,49722.242188,0.004686
7,1000,0.6,0.2,50.0,1000,13747,5486,166,48272.164062,0.003439
8,1000,0.6,0.2,50.0,1000,14174,5605,212,49641.101562,0.004271
9,1000,0.6,0.2,50.0,1000,14599,5812,227,51048.210938,0.004447
10,1000,0.6,0.2,50.0,1000,14551,5908,188,51012.035156,0.003685
