Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,5387,2720,997,49962.050781,0.019955
2,1000,0.5,0.2,50.0,1000,5489,2741,998,50342.320312,0.019824
3,1000,0.5,0.2,50.0,1000,5580,2785,998,48955.261719,0.020386
4,1000,0.5,0.2,50.0,1000,4987,2549,998,49209.324219,0.020281
5,1000,0.5,0.2,50.0,1000,5382,2669,999,49474.613281,0.020192
6,1000,0.5,0.2,50.0,1000,5128,2596,996,50945.023438,0.019550
7,1000,0.5,0.2,50.0,1000,5300,2571,999,50849.582031,0.019646
8,1000,0.5,0.2,50.0,1000,5247,2589,999,49430.640625,0.020210
9,1000,0.5,0.2,50.0,1000,5603,2785,999,49462.289062,0.020197
10,1000,0.5,0.2,50.0,1000,5473,2694,999,50451.878906,0.019801
