Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,14046,2871,46,49378.496094,0.000932
2,1000,0.8,0.2,50.0,1000,14128,2845,60,49532.781250,0.001211
3,1000,0.8,0.2,50.0,1000,13816,2766,51,48651.574219,0.001048
4,1000,0.8,0.2,50.0,1000,14299,2974,57,50191.894531,0.001136
5,1000,0.8,0.2,50.0,1000,14199,2765,44,49984.292969,0.000880
6,1000,0.8,0.2,50.0,1000,14195,2901,53,49946.367188,0.001061
7,1000,0.8,0.2,50.0,1000,14204,2776,52,49953.539062,0.001041
8,1000,0.8,0.2,50.0,1000,14514,2935,59,51021.015625,0.001156
9,1000,0.8,0.2,50.0,1000,13889,2823,53,48860.308594,0.001085
10,1000,0.8,0.2,50.0,1000,14385,2867,64,50568.531250,0.001266
