Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,65969,8881,153,50126.746094,0.003052
2,1000,0.2,0.2,50.0,1000,66307,8854,148,49852.773438,0.002969
3,1000,0.2,0.2,50.0,1000,64319,8697,163,49832.640625,0.003271
4,1000,0.2,0.2,50.0,1000,67736,9214,147,51034.796875,0.002880
5,1000,0.2,0.2,50.0,1000,68494,9227,140,50978.609375,0.002746
6,1000,0.2,0.2,50.0,1000,54154,7933,348,52262.855469,0.006659
7,1000,0.2,0.2,50.0,1000,62743,8503,180,49508.292969,0.003636
8,1000,0.2,0.2,50.0,1000,53891,7785,305,49447.007812,0.006168
9,1000,0.2,0.2,50.0,1000,69450,9231,135,51465.980469,0.002623
10,1000,0.2,0.2,50.0,1000,69424,9042,104,50278.503906,0.002068
