Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,273576,8569,527,51518.410156,0.010229
2,1000,0.8,0.2,50.0,1000,230921,8262,584,50025.398438,0.011674
3,1000,0.8,0.2,50.0,1000,340436,8669,379,48978.468750,0.007738
4,1000,0.8,0.2,50.0,1000,40713,6702,946,51021.160156,0.018541
5,1000,0.8,0.2,50.0,1000,80310,7351,843,50341.105469,0.016746
6,1000,0.8,0.2,50.0,1000,72839,7537,859,49605.574219,0.017317
7,1000,0.8,0.2,50.0,1000,32561,6429,987,49454.238281,0.019958
8,1000,0.8,0.2,50.0,1000,33296,6758,999,48782.871094,0.020479
9,1000,0.8,0.2,50.0,1000,331229,8601,398,50152.289062,0.007936
10,1000,0.8,0.2,50.0,1000,33828,6744,994,49484.648438,0.020087
