Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,11,6,2,49312.402344,0.000041
2,1000,0.5,0.2,50.0,1000,14,5,0,49058.132812,0.000000
3,1000,0.5,0.2,50.0,1000,24,11,6,50614.707031,0.000119
4,1000,0.5,0.2,50.0,1000,15,7,3,48114.964844,0.000062
5,1000,0.5,0.2,50.0,1000,39,24,5,50083.152344,0.000100
6,1000,0.5,0.2,50.0,1000,42,29,12,49530.757812,0.000242
7,1000,0.5,0.2,50.0,1000,33,18,5,49947.339844,0.000100
8,1000,0.5,0.2,50.0,1000,6,5,2,49923.515625,0.000040
9,1000,0.5,0.2,50.0,1000,17,12,2,48402.539062,0.000041
10,1000,0.5,0.2,50.0,1000,10,3,0,49348.121094,0.000000
