Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,14330,7213,340,50171.566406,0.006777
2,1000,0.5,0.2,50.0,1000,14384,7151,288,50173.382812,0.005740
3,1000,0.5,0.2,50.0,1000,14429,7121,320,50531.390625,0.006333
4,1000,0.5,0.2,50.0,1000,13990,7015,342,49006.136719,0.006979
5,1000,0.5,0.2,50.0,1000,14119,7045,338,49397.503906,0.006842
6,1000,0.5,0.2,50.0,1000,14182,7165,354,49612.863281,0.007135
7,1000,0.5,0.2,50.0,1000,14007,6992,338,49147.398438,0.006877
8,1000,0.5,0.2,50.0,1000,14335,7159,315,50231.746094,0.006271
9,1000,0.5,0.2,50.0,1000,13830,6958,309,48447.160156,0.006378
10,1000,0.5,0.2,50.0,1000,14394,7169,317,50211.175781,0.006313
