Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3658,2197,998,49829.703125,0.020028
2,1000,0.4,0.2,50.0,1000,3727,2225,999,50244.359375,0.019883
3,1000,0.4,0.2,50.0,1000,3790,2269,998,48766.042969,0.020465
4,1000,0.4,0.2,50.0,1000,3542,2150,994,49914.539062,0.019914
5,1000,0.4,0.2,50.0,1000,3678,2223,998,50010.207031,0.019956
6,1000,0.4,0.2,50.0,1000,3566,2130,999,50882.226562,0.019634
7,1000,0.4,0.2,50.0,1000,3718,2217,999,50675.507812,0.019714
8,1000,0.4,0.2,50.0,1000,3593,2180,999,50230.828125,0.019888
9,1000,0.4,0.2,50.0,1000,3706,2201,998,48925.035156,0.020399
10,1000,0.4,0.2,50.0,1000,3766,2300,999,50670.757812,0.019716
