Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,68548,9068,94,50262.148438,0.001870
2,1000,0.5,0.2,50.0,1000,67262,8785,84,48629.558594,0.001727
3,1000,0.5,0.2,50.0,1000,67866,8907,83,49389.742188,0.001681
4,1000,0.5,0.2,50.0,1000,67337,8816,93,49257.308594,0.001888
5,1000,0.5,0.2,50.0,1000,66928,8730,91,48634.488281,0.001871
6,1000,0.5,0.2,50.0,1000,68433,8926,77,49716.316406,0.001549
7,1000,0.5,0.2,50.0,1000,68533,9074,88,50165.773438,0.001754
8,1000,0.5,0.2,50.0,1000,67371,8792,96,49110.582031,0.001955
9,1000,0.5,0.2,50.0,1000,66883,8763,80,48721.417969,0.001642
10,1000,0.5,0.2,50.0,1000,66690,8618,73,48192.386719,0.001515
