Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,67983,8987,107,49962.839844,0.002142
2,1000,0.4,0.2,50.0,1000,68792,9057,88,50110.972656,0.001756
3,1000,0.4,0.2,50.0,1000,67521,8837,93,49185.769531,0.001891
4,1000,0.4,0.2,50.0,1000,68503,8944,88,49649.816406,0.001772
5,1000,0.4,0.2,50.0,1000,68270,9030,111,50052.167969,0.002218
6,1000,0.4,0.2,50.0,1000,69147,9075,81,50488.351562,0.001604
7,1000,0.4,0.2,50.0,1000,67587,8959,107,49930.554688,0.002143
8,1000,0.4,0.2,50.0,1000,69061,9036,92,50315.695312,0.001828
9,1000,0.4,0.2,50.0,1000,70298,9176,83,50740.800781,0.001636
10,1000,0.4,0.2,50.0,1000,69595,9024,83,50468.867188,0.001645
