Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,14,13,5,49187.859375,0.000102
2,1000,0.1,0.2,50.0,1000,3,3,0,48934.726562,0.000000
3,1000,0.1,0.2,50.0,1000,32,30,14,50803.480469,0.000276
4,1000,0.1,0.2,50.0,1000,34,31,16,48968.066406,0.000327
5,1000,0.1,0.2,50.0,1000,10,10,6,50024.441406,0.000120
6,1000,0.1,0.2,50.0,1000,23,21,11,49347.402344,0.000223
7,1000,0.1,0.2,50.0,1000,16,15,6,49884.992188,0.000120
8,1000,0.1,0.2,50.0,1000,4,4,2,49921.781250,0.000040
9,1000,0.1,0.2,50.0,1000,8,6,3,48501.832031,0.000062
10,1000,0.1,0.2,50.0,1000,22,19,5,49764.921875,0.000100
