Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2836,2549,999,49902.437500,0.020019
2,1000,0.1,0.2,50.0,1000,20422,5022,802,50935.148438,0.015746
3,1000,0.1,0.2,50.0,1000,58757,8041,232,49193.875000,0.004716
4,1000,0.1,0.2,50.0,1000,61654,8418,183,48119.125000,0.003803
5,1000,0.1,0.2,50.0,1000,2750,2482,997,49841.847656,0.020003
6,1000,0.1,0.2,50.0,1000,46979,7139,422,51011.308594,0.008273
7,1000,0.1,0.2,50.0,1000,2655,2393,999,48473.605469,0.020609
8,1000,0.1,0.2,50.0,1000,52816,7861,317,49561.718750,0.006396
9,1000,0.1,0.2,50.0,1000,54617,7795,306,50061.542969,0.006112
10,1000,0.1,0.2,50.0,1000,5784,2884,949,49491.585938,0.019175
