Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,68306,8894,80,49395.234375,0.001620
2,1000,0.6,0.2,50.0,1000,67919,8823,69,48883.769531,0.001412
3,1000,0.6,0.2,50.0,1000,68370,8920,69,49321.703125,0.001399
4,1000,0.6,0.2,50.0,1000,69048,8935,87,49754.937500,0.001749
5,1000,0.6,0.2,50.0,1000,68911,8953,73,49772.187500,0.001467
6,1000,0.6,0.2,50.0,1000,68890,9048,81,50057.625000,0.001618
7,1000,0.6,0.2,50.0,1000,69494,9104,72,50269.097656,0.001432
8,1000,0.6,0.2,50.0,1000,70421,9072,64,50771.046875,0.001261
9,1000,0.6,0.2,50.0,1000,69989,9223,86,50647.179688,0.001698
10,1000,0.6,0.2,50.0,1000,68284,8864,73,49403.796875,0.001478
