Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,437888,8809,193,49583.796875,0.003892
2,1000,0.2,0.2,50.0,1000,456041,8907,190,50144.000000,0.003789
3,1000,0.2,0.2,50.0,1000,441482,8801,204,50522.492188,0.004038
4,1000,0.2,0.2,50.0,1000,455913,9184,191,50958.894531,0.003748
5,1000,0.2,0.2,50.0,1000,449836,8984,185,49525.542969,0.003735
6,1000,0.2,0.2,50.0,1000,302041,7592,376,50351.468750,0.007468
7,1000,0.2,0.2,50.0,1000,418875,8430,229,49208.355469,0.004654
8,1000,0.2,0.2,50.0,1000,333814,7914,341,50074.484375,0.006810
9,1000,0.2,0.2,50.0,1000,456199,8929,174,49743.472656,0.003498
10,1000,0.2,0.2,50.0,1000,481641,8924,148,49699.722656,0.002978
