Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,17,13,6,49192.992188,0.000122
2,1000,0.4,0.2,50.0,1000,8,3,0,49120.191406,0.000000
3,1000,0.4,0.2,50.0,1000,22,13,5,50742.171875,0.000099
4,1000,0.4,0.2,50.0,1000,14,9,2,48270.324219,0.000041
5,1000,0.4,0.2,50.0,1000,29,22,7,50262.097656,0.000139
6,1000,0.4,0.2,50.0,1000,11,8,4,49486.761719,0.000081
7,1000,0.4,0.2,50.0,1000,27,13,5,49897.011719,0.000100
8,1000,0.4,0.2,50.0,1000,6,5,2,49923.515625,0.000040
9,1000,0.4,0.2,50.0,1000,14,9,2,48395.277344,0.000041
10,1000,0.4,0.2,50.0,1000,20,11,3,49540.347656,0.000061
