Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,89488,8188,486,49391.980469,0.009840
2,1000,0.8,0.2,50.0,1000,84578,8256,547,49917.808594,0.010958
3,1000,0.8,0.2,50.0,1000,108959,8881,316,50222.054688,0.006292
4,1000,0.8,0.2,50.0,1000,39501,6649,946,50736.808594,0.018645
5,1000,0.8,0.2,50.0,1000,56491,7424,832,50758.949219,0.016391
6,1000,0.8,0.2,50.0,1000,51476,7324,850,48425.781250,0.017553
7,1000,0.8,0.2,50.0,1000,32561,6429,987,49454.238281,0.019958
8,1000,0.8,0.2,50.0,1000,33296,6758,999,48782.871094,0.020479
9,1000,0.8,0.2,50.0,1000,104227,8542,339,49718.593750,0.006818
10,1000,0.8,0.2,50.0,1000,33828,6744,994,49484.648438,0.020087
