Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,530975,9341,165,51759.722656,0.003188
2,1000,0.5,0.2,50.0,1000,525138,8963,129,49558.421875,0.002603
3,1000,0.5,0.2,50.0,1000,505334,8850,156,49214.453125,0.003170
4,1000,0.5,0.2,50.0,1000,518098,9070,171,50699.042969,0.003373
5,1000,0.5,0.2,50.0,1000,527980,9207,159,51206.441406,0.003105
6,1000,0.5,0.2,50.0,1000,519993,9141,153,50947.257812,0.003003
7,1000,0.5,0.2,50.0,1000,480889,8608,169,47871.679688,0.003530
8,1000,0.5,0.2,50.0,1000,515193,8885,168,49624.046875,0.003385
9,1000,0.5,0.2,50.0,1000,508298,8834,150,49193.304688,0.003049
10,1000,0.5,0.2,50.0,1000,525128,9027,154,50471.550781,0.003051
