Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,226272,8789,193,49460.824219,0.003902
2,1000,0.2,0.2,50.0,1000,228139,8671,190,48796.730469,0.003894
3,1000,0.2,0.2,50.0,1000,228680,8802,204,50527.406250,0.004037
4,1000,0.2,0.2,50.0,1000,229621,8979,185,49909.890625,0.003707
5,1000,0.2,0.2,50.0,1000,230654,8875,185,48935.089844,0.003781
6,1000,0.2,0.2,50.0,1000,175897,7745,376,51223.613281,0.007340
7,1000,0.2,0.2,50.0,1000,225015,8638,230,50331.636719,0.004570
8,1000,0.2,0.2,50.0,1000,187144,7990,341,50465.843750,0.006757
9,1000,0.2,0.2,50.0,1000,232307,8899,174,49577.988281,0.003510
10,1000,0.2,0.2,50.0,1000,244447,8885,148,49446.957031,0.002993
