Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,551965,9156,67,51128.937500,0.001310
2,1000,0.8,0.2,50.0,1000,531637,8943,70,50054.535156,0.001398
3,1000,0.8,0.2,50.0,1000,527421,8952,69,50014.105469,0.001380
4,1000,0.8,0.2,50.0,1000,527655,8998,82,50315.144531,0.001630
5,1000,0.8,0.2,50.0,1000,530750,8881,79,50068.515625,0.001578
6,1000,0.8,0.2,50.0,1000,538198,9101,71,50709.781250,0.001400
7,1000,0.8,0.2,50.0,1000,532063,8918,57,50154.304688,0.001136
8,1000,0.8,0.2,50.0,1000,534123,9039,67,50595.398438,0.001324
9,1000,0.8,0.2,50.0,1000,520152,8754,72,49133.925781,0.001465
10,1000,0.8,0.2,50.0,1000,535967,8869,71,49725.156250,0.001428
