Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,24629,4991,751,49071.472656,0.015304
2,1000,0.8,0.2,50.0,1000,25258,5092,781,50421.707031,0.015489
3,1000,0.8,0.2,50.0,1000,24904,4869,739,50109.625000,0.014748
4,1000,0.8,0.2,50.0,1000,25269,5100,811,50242.695312,0.016142
5,1000,0.8,0.2,50.0,1000,24965,4977,759,49758.082031,0.015254
6,1000,0.8,0.2,50.0,1000,25787,5208,767,51589.695312,0.014867
7,1000,0.8,0.2,50.0,1000,24119,4790,735,48566.625000,0.015134
8,1000,0.8,0.2,50.0,1000,24513,5050,755,48975.601562,0.015416
9,1000,0.8,0.2,50.0,1000,24559,4999,778,48933.976562,0.015899
10,1000,0.8,0.2,50.0,1000,23866,4781,716,47518.250000,0.015068
