Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,3930,3079,939,50308.773438,0.018665
2,1000,0.1,0.2,50.0,1000,9233,6257,565,50251.820312,0.011243
3,1000,0.1,0.2,50.0,1000,12681,8209,239,49715.304688,0.004807
4,1000,0.1,0.2,50.0,1000,3737,3040,964,50757.207031,0.018992
5,1000,0.1,0.2,50.0,1000,10810,7062,407,49719.281250,0.008186
6,1000,0.1,0.2,50.0,1000,11167,7339,402,51825.363281,0.007757
7,1000,0.1,0.2,50.0,1000,2655,2393,999,48473.605469,0.020609
8,1000,0.1,0.2,50.0,1000,12988,8298,216,50194.875000,0.004303
9,1000,0.1,0.2,50.0,1000,12105,7857,313,50251.316406,0.006229
10,1000,0.1,0.2,50.0,1000,3483,2856,966,49351.195312,0.019574
