Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,14250,9060,175,51002.000000,0.003431
2,1000,0.2,0.2,50.0,1000,14204,9019,170,50494.507812,0.003367
3,1000,0.2,0.2,50.0,1000,13834,8870,204,50575.800781,0.004034
4,1000,0.2,0.2,50.0,1000,14235,9100,187,50393.738281,0.003711
5,1000,0.2,0.2,50.0,1000,14599,9204,157,51247.710938,0.003064
6,1000,0.2,0.2,50.0,1000,11707,7575,369,50302.191406,0.007336
7,1000,0.2,0.2,50.0,1000,13352,8550,215,49662.542969,0.004329
8,1000,0.2,0.2,50.0,1000,12847,8247,319,51946.757812,0.006141
9,1000,0.2,0.2,50.0,1000,14083,8997,175,49816.554688,0.003513
10,1000,0.2,0.2,50.0,1000,14263,9002,140,49993.210938,0.002800
