Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1660,1482,999,51044.859375,0.019571
2,1000,0.1,0.2,50.0,1000,1649,1505,999,49535.800781,0.020167
3,1000,0.1,0.2,50.0,1000,1718,1524,999,48804.906250,0.020469
4,1000,0.1,0.2,50.0,1000,1625,1455,999,50900.304688,0.019627
5,1000,0.1,0.2,50.0,1000,1594,1438,999,51425.281250,0.019426
6,1000,0.1,0.2,50.0,1000,1598,1450,999,50480.355469,0.019790
7,1000,0.1,0.2,50.0,1000,1712,1520,998,50534.480469,0.019749
8,1000,0.1,0.2,50.0,1000,1622,1483,999,52002.441406,0.019211
9,1000,0.1,0.2,50.0,1000,1704,1523,999,50016.875000,0.019973
10,1000,0.1,0.2,50.0,1000,1615,1460,999,48617.515625,0.020548
