Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,14306,8550,408,50255.226562,0.008119
2,1000,0.4,0.2,50.0,1000,14248,8498,427,49601.882812,0.008609
3,1000,0.4,0.2,50.0,1000,14018,8336,406,48969.445312,0.008291
4,1000,0.4,0.2,50.0,1000,14145,8396,436,49192.136719,0.008863
5,1000,0.4,0.2,50.0,1000,14305,8674,397,49974.648438,0.007944
6,1000,0.4,0.2,50.0,1000,14579,8812,426,51040.597656,0.008346
7,1000,0.4,0.2,50.0,1000,14039,8391,380,49483.113281,0.007679
8,1000,0.4,0.2,50.0,1000,14740,8824,422,51415.464844,0.008208
9,1000,0.4,0.2,50.0,1000,14131,8507,376,49325.347656,0.007623
10,1000,0.4,0.2,50.0,1000,14402,8617,429,50112.886719,0.008561
