Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,383073,8432,527,50771.777344,0.010380
2,1000,0.8,0.2,50.0,1000,304837,8222,584,49792.597656,0.011729
3,1000,0.8,0.2,50.0,1000,617059,8951,382,50545.050781,0.007558
4,1000,0.8,0.2,50.0,1000,40713,6702,946,51021.160156,0.018541
5,1000,0.8,0.2,50.0,1000,80310,7351,843,50341.105469,0.016746
6,1000,0.8,0.2,50.0,1000,72839,7537,859,49605.574219,0.017317
7,1000,0.8,0.2,50.0,1000,32561,6429,987,49454.238281,0.019958
8,1000,0.8,0.2,50.0,1000,33296,6758,999,48782.871094,0.020479
9,1000,0.8,0.2,50.0,1000,549748,8504,397,49557.750000,0.008011
10,1000,0.8,0.2,50.0,1000,33828,6744,994,49484.648438,0.020087
